Date,Order Ref. / Order Valid Date / Channel,Exch,Stock,Buy/Sell,Qty,Price,Status,Open,Executed,Cancelled,Expired,Margin Amt. Blocked,Discl. Qty,Stop Loss Price,Segment /  Settl.
3/9/2022 9:42,20220309N800010488,NSE,AVESUP,Buy,2,4120.7,Executed,0,2,0,0,0,0,0,Rolling/2022046
3/8/2022 15:20,20220308N800057576,NSE,NATPHA,Sell,3,847.6,Executed,0,3,0,0,0,0,0,Rolling/2022045
3/8/2022 15:20,20220308N800057571,NSE,PIDIND,Sell,2,2179.65,Executed,0,2,0,0,0,0,0,Rolling/2022045
3/8/2022 15:20,20220308N800057553,NSE,AVESUP,Sell,2,4128.1,Executed,0,2,0,0,0,0,0,Rolling/2022045
3/8/2022 9:30,20220308N800008958,NSE,PIDIND,Buy,2,2162,Executed,0,2,0,0,0,0,0,Rolling/2022045
3/8/2022 9:17,20220308N800004798,NSE,AVESUP,Buy,2,4034.3,Executed,0,2,0,0,0,0,0,Rolling/2022045
3/8/2022 9:16,20220308N800004341,NSE,NATPHA,Buy,3,885.95,Executed,0,3,0,0,0,0,0,Rolling/2022045
3/4/2022 15:21,20220304N800060870,NSE,BHAELE,Buy,2,215.1,Executed,0,2,0,0,0,0,0,Rolling/2022043
3/4/2022 15:21,20220304N800060856,NSE,ONE97,Buy,2,784.95,Executed,0,2,0,0,0,0,0,Rolling/2022043
3/4/2022 15:21,20220304N800060860,NSE,TATSTE,Sell,1,1277.65,Executed,0,1,0,0,0,0,0,Rolling/2022043
3/4/2022 15:21,20220304N800060862,NSE,HINDAL,Sell,2,584,Executed,0,2,0,0,0,0,0,Rolling/2022043
3/4/2022 15:21,20220304N800060863,NSE,GNFC,Sell,2,597.75,Executed,0,2,0,0,0,0,0,Rolling/2022043
3/4/2022 15:21,20220304N800060807,NSE,AVESUP,Sell,2,4081.75,Executed,0,2,0,0,0,0,0,Rolling/2022043
